init_query	rep_query	sys_num	sys_name
нормативные документы по воинскому учету	нормативные документы по воинскому учету 	 2 	 Система Кадры
бланк заявление	Вопрос: бланк заявление 	 3 	 Система Юрист
с внешнего совместителя на основное место	с внешнего совместителя на основное место 	 2 	 Система Кадры
коды окз таблица	Вопрос: коды окз таблица 	 7 	 Система Образование
обязан ли работодатель выдать характеристику с места работы бывшему сотруднику	Вопрос: обязан ли работодатель выдать характеристику с места работы бывшему сотруднику 	 2 	 Система Кадры
как отразить физических лиц по гпх	как отразить физических лиц по гпх 	 1 	 Система Бухгалтер
ребенку менее1,5 лет перерыв для кормления полный рабочий день	Вопрос: ребенку менее1,5 лет перерыв для кормления полный рабочий день 	 2 	 Система Кадры
ст 153 тк рф в новой редакции с 01.03.2025	ст 153 тк рф в новой редакции с 01.03.2025 	 2 	 Система Кадры
квоты по инвалидам	квоты по инвалидам 	 2 	 Система Кадры
штраф за непредоставление письменного отказа в приеме на работу	Штраф за непредоставление письменного отказа в приеме на работу 	 2 	 Система Кадры
тест мартина	Вопрос: тест мартина 	 11 	 Система Генеральный директор
инженер профстандарт	Вопрос: инженер профстандарт 	 14 	 Система Промбезопасность
уведомление в роскомнадзор обработку персональных данных без цели обработки	уведомление в роскомнадзор обработку персональных данных без цели обработки 	 3 	 Система Юрист
отпуск в межвахтовый период	отпуск в межвахтовый период 	 2 	 Система Кадры
командировка на один день	Командировка на один день 	 2 	 Система Кадры
152-фз о защите перс	Вопрос: 152-фз о защите перс 	 3 	 Система Юрист
прием на работу иностранца	прием на работу иностранца 	 2 	 Система Кадры
гпх пособие по беременности и родам	гпх пособие по беременности и родам 	 2 	 Система Кадры
передача документов при увольнении генерального	передача документов при увольнении генерального 	 2 	 Система Кадры
надбавка за сложность работы должна включаться в трудовой договор	Вопрос: надбавка за сложность работы должна включаться в трудовой договор 	 2 	 Система Кадры
энергетик	энергетик 	 14 	 Система Промбезопасность
журналы кадрового делопроизводства	журналы кадрового делопроизводства 	 2 	 Система Кадры
т1 отчетность	т1 отчетность 	 1 	 Система Бухгалтер
с какого возраста встает на воинский учет	с какого возраста встает на воинский учет 	 2 	 Система Кадры
можно ли привлекать к сверхурочной работе при ненормированном рабочем дне	можно ли привлекать к сверхурочной работе при ненормированном рабочем дне 	 2 	 Система Кадры
порядок оповещения руководителей, гпз и гпп	Вопрос: порядок оповещения руководителей, гпз и гпп 	 6 	 Система Охрана труда
вычет на ребенка 2025	Вопрос: вычет на ребенка 2025 	 1 	 Система Бухгалтер
заверить копию трудовой книжки	заверить копию трудовой книжки 	 2 	 Система Кадры
образец бланка приказ индивидуального предпринимателя	Вопрос: образец бланка приказ индивидуального предпринимателя 	 3 	 Система Юрист
предрейсовый осмотр	предрейсовый осмотр 	 8 	 Система Медицина
сотрудник айти компании, какие документы нужны для отсрочки от призыва на срочную службу	Вопрос: сотрудник айти компании, какие документы нужны для отсрочки от призыва на срочную службу 	 2 	 Система Кадры
увольнение пункт 4 части 1 статьи 83	увольнение пункт 4 части 1 статьи 83 	 3 	 Система Кадры
соглашение сторон	соглашение сторон 	 3 	 Система Юрист
организация на запрос фс судебных приставов имеет ли право предоставлять копии паспорта, копии приказов на сотрудников	Вопрос: организация на запрос фс судебных приставов имеет ли право предоставлять копии паспорта, копии приказов на сотрудников 	 3 	 Система Юрист
можно уволить сотрудника принятого по срочному договору, если он подписал контракт с министерством обороны	можно уволить сотрудника принятого по срочному договору, если он подписал контракт с министерством обороны 	 2 	 Система Кадры
можно ли отозвать сотрудника с междувахтового отдыха	можно ли отозвать сотрудника с междувахтового отдыха 	 2 	 Система Кадры
организация мобилизационного отдела	Вопрос: организация мобилизационного отдела 	 3 	 Система Юрист
какие года рождения проходят диспансеризацию в 2025 году	Вопрос: какие года рождения проходят диспансеризацию в 2025 году 	 8 	 Система Медицина
"приказ сфр от 17.11.2023 n 2281 ""об утверждении единой формы ""сведения для ведения индивидуального (персонифицированного) учета и сведения о начисленных страховых взносах на обязательное социальное"	"Приказ СФР от 17.11.2023 N 2281 ""Об утверждении единой формы ""сведения для ведения индивидуального (персонифицированного) учета и сведения о начисленных страховых взносах на обязательное социальное "	 1 	 Система Бухгалтер
уведомление или иностранец работает за границей	уведомление или иностранец работает за границей 	 2 	 Система Кадры
уведомление цзн о простое	уведомление цзн о простое 	 2 	 Система Кадры
пример чек-лист проведение эффективного совещания	Вопрос: пример чек-лист проведение эффективного совещания 	 11 	 Система Генеральный директор
жена опекун может ли муж взять доп выходные по уходу за ребенком инвалидом	жена опекун может ли муж взять доп выходные по уходу за ребенком инвалидом 	 2 	 Система Кадры
персональные данные 152-фз	Персональные данные 152-фз 	 3 	 Система Юрист
сотрудник отказывается подписывать приказ на увольнение	Сотрудник отказывается подписывать приказ на увольнение 	 2 	 Система Кадры
размещение аптечек	Вопрос: размещение аптечек 	 8 	 Система Медицина
уведомление государственного служащего кого уведомлять?	уведомление государственного служащего кого уведомлять? 	 15 	 Система Госфинансы
невыполнение норм труда	невыполнение норм труда 	 2 	 Система Кадры
программа обучения нового сотрудника	Программа обучения нового сотрудника 	 2 	 Система Кадры
не выполнение плана продаж	не выполнение плана продаж 	 12 	 Система Продажи
тренажерного зала	Вопрос: тренажерного зала 	 8 	 Система Медицина
за какой период работник может требовать перерасчет	Вопрос: за какой период работник может требовать перерасчет 	 2 	 Система Кадры
работнику установили 2 группу инвалидности	Вопрос: работнику установили 2 группу инвалидности 	 2 	 Система Кадры
как утвердить перечень должностей утверждаемых советом директоров	как утвердить перечень должностей утверждаемых советом директоров 	 3 	 Система Юрист
перевод внести в трудовую	Перевод внести в трудовую 	 2 	 Система Кадры
образец согласия инвалида на работу в ночное время	образец согласия инвалида на работу в ночное время 	 2 	 Система Кадры
женщины на севере ночной график	Женщины на севере ночной график 	 2 	 Система Кадры
работник написал заявление на увольнение от выходного дня	работник написал заявление на увольнение от выходного дня 	 2 	 Система Кадры
корректирующий табель сроки	Корректирующий табель сроки 	 2 	 Система Кадры
приказ о внедрении программ	Приказ о внедрении программ 	 11 	 Система Генеральный директор
привлечение к работе в выходные дни 23.02	привлечение к работе в выходные дни 23.02 	 2 	 Система Кадры
гпд отпуск по уходу за ребенком	гпд отпуск по уходу за ребенком 	 2 	 Система Кадры
за сколько времени нужно знакомить работника с индивидуальным графиком работы графиком работы	Вопрос: за сколько времени нужно знакомить работника с индивидуальным графиком работы 	 2 	 Система Кадры
изменения оплаты сверхурочных часов	Изменения оплаты сверхурочных часов 	 2 	 Система Кадры
заявление о назначении пособия по уходу за ребенком заполненный бланк	заявление о назначении пособия по уходу за ребенком заполненный бланк 	 2 	 Система Кадры
сотрудник заключил договор с частной военной компанией	Сотрудник заключил договор с частной военной компанией 	 3 	 Система Юрист
аккредитация медицинского психолога	Вопрос: аккредитация медицинского психолога 	 8 	 Система Медицина
расторжение договора гпх с мобилизованным	расторжение договора гпх с мобилизованным 	 3 	 Система Юрист
можно ли оформить дни по уходу за ребенком инвалидом на 2 месяца вперед	Система Кадры 	 2 	 Система Кадры
как учесть стаж работы в донецкой области	как учесть стаж работы в донецкой области 	 2 	 Система Кадры
рабочее время инвалида 2 группы	Рабочее время инвалида 2 группы 	 2 	 Система Кадры
расчет пособия по больничному	расчет пособия по больничному 	 2 	 Система Кадры
изменение заработной средний	Изменение заработной средней 	 4 	 Система Финансист
налоги иностранных работников	налоги иностранных работников 	 1 	 Система Бухгалтер
сотрудник умер в отпуске	Сотрудник умер в отпуске 	 2 	 Система Кадры
новое по отгулам	новое по отгулам 	 2 	 Система Кадры
приказ на прием с суммированным учетом рабочего времени образец	Приказ на прием с суммированным учетом рабочего времени образец 	 2 	 Система Кадры
перевод сотрудницы в декрете на другую должность	перевод сотрудницы в декрете на другую должность 	 2 	 Система Кадры
учебный отпуск задним числом	учебный отпуск задним числом 	 2 	 Система Кадры
военкоматы	Военкоматы 	 2 	 Система Кадры
опекун имеет ли право на доп выходные	опекун имеет ли право на доп выходные 	 2 	 Система Кадры
увольнение генерального директора на основании протокола участников общества	увольнение генерального директора на основании протокола участников общества 	 3 	 Система Юрист
право на пенсию в трудовом договоре	право на пенсию в трудовом договоре 	 2 	 Система Кадры
временный перевод на удаленную работу	Вопрос: временный перевод на удаленную работу 	 2 	 Система Кадры
категории персонала	категории персонала 	 2 	 Система Кадры
должностная инструкция для главного специалиста отдела материально-технического обеспечения	Вопрос: должностная инструкция для главного специалиста отдела материально-технического обеспечения 	 10 	 Система Управление многоквартирным домом
акт расследования нарушения пвтр	Акт расследования нарушения пвтр 	 6 	 Система Охрана труда
статья 351.8	Вопрос: статья 351.8 	 3 	 Система Юрист
журнал по выдаче молока	Журнал по выдаче молока 	 8 	 Система Медицина
добрый день! сколько часов необходимо оплатить при работе в выходной день, при 40 часовой рабочей неделе, если он отработал 12 часов и при всем у него установлен ненормированный рабочий день?	добрый день! сколько часов необходимо оплатить при работе в выходной день, при 40 часовой рабочей неделе, если он отработал 12 часов и при всем у него установлен ненормированный рабочий день? 	 2 	 Система Кадры
письме роструда от 18.02.2013 № пг/992-6-1	Вопрос: письме роструда от 18.02.2013 № пг/992-6-1 	 2 	 Система Кадры
заявление о продлении отпуска	заявление о продлении отпуска 	 2 	 Система Кадры
нужно ли делать запись в трудовой книжке о занесении на доску почета	нужно ли делать запись в трудовой книжке о занесении на доску почета 	 2 	 Система Кадры
согласие на распространение	Вопрос: согласие на распространение 	 3 	 Система Юрист
заявление о корректировке стажа	Заявление о корректировке стажа 	 2 	 Система Кадры
для чего запрашивать справку о совместном проживании при увольнении в связи со смертью	Вопрос: для чего запрашивать справку о совместном проживании при увольнении в связи со смертью 	 2 	 Система Кадры
оплата сверхурочных	Оплата сверхурочных 	 2 	 Система Кадры
указ президента рф от 30.12.2024 № 112	Вопрос: указ президента рф от 30.12.2024 № 112 	 3 	 Система Юрист
с какого числа надо уволить сотрудника по сокращению по сокращению	Система Кадры 	 2 	 Система Кадры
часовая тарифная ставка как прописать в трудовом договоре форма договора	часовая тарифная ставка как прописать в трудовом договоре форма договора 	 2 	 Система Кадры
сведения о вознаграждениях нужно ли заверять	Система Кадры 	 2 	 Система Кадры
основание срочного трудового договора	основание срочного трудового договора 	 2 	 Система Кадры
расчетчик северного стажа сотрудника	Вопрос: расчетчик северного стажа сотрудника 	 2 	 Система Кадры
непосредственное подчинение указывать в договоре	Вопрос: непосредственное подчинение указывать в договоре 	 3 	 Система Юрист
увольнение работника в состоянии алкогольного опьянения порядок	увольнение работника в состоянии алкогольного опьянения порядок 	 2 	 Система Кадры
приказ по кадровой деятельности	приказ по кадровой деятельности 	 2 	 Система Кадры
в каких случаях могут переквалифицировать срочный трудовой договор в бессрочный	в каких случаях могут переквалифицировать срочный трудовой договор в бессрочный 	 2 	 Система Кадры
как уволить пропавшего сотрудника?	как уволить пропавшего сотрудника? 	 2 	 Система Кадры
инструкция по охране труда для бухгалтера	инструкция по охране труда для бухгалтера 	 6 	 Система Охрана труда
какие льготы распространяются на опекуна	Вопрос: какие льготы распространяются на опекуна 	 2 	 Система Кадры
трудовой договор на 0?5 ставки	трудовой договор на 0,5 ставки 	 2 	 Система Кадры
может ли донор использовать дни у другого работодателя	Вопрос: может ли донор использовать дни у другого работодателя 	 2 	 Система Кадры
изменить режим работы на время командировки	Изменить режим работы на время командировки 	 2 	 Система Кадры
трудовой кодекс	трудовой кодекс 	 2 	 Система Кадры
как признать срочный трудовой договор на бессрочный	как признать срочный трудовой договор на бессрочный 	 2 	 Система Кадры
заявление о компенсации в денежной форме по замене дополнительных выходных дней	заявление о компенсации в денежной форме по замене дополнительных выходных дней 	 2 	 Система Кадры
нужно ли переделывать соут через 5 лет	нужно ли переделывать соут через 5 лет 	 6 	 Система Охрана труда
отчетность 1 - т (условия труда	отчетность 1 - т 	 2 	 Система Кадры
дмс для бывших работников	Вопрос: дмс для бывших работников 	 8 	 Система Медицина
размер компенсации по соглашению сторон	Размер компенсации по соглашению сторон 	 3 	 Система Юрист
как рассчитать количество дней в отпуске в чите	как рассчитать количество дней в отпуске в чите 	 2 	 Система Кадры
журнал прохождения испытательного срока работника	журнал прохождения испытательного срока работника 	 2 	 Система Кадры
график работы со вторника по субботу	график работы со вторника по субботе 	 2 	 Система Кадры
договор гпх после сокращения	Договор гпх после сокращения 	 3 	 Система Юрист
как оплачивать день в суде	как оплачивать день в суде 	 3 	 Система Юрист
уволить мобилизованного работника по его инициативе можно без возобновления договора	уволить мобилизованного работника по его инициативе можно без возобновления договора 	 2 	 Система Кадры
в каком размере оплачивается больничный по уходу за ребенком	в каком размере оплачивается больничный по уходу за ребенком 	 3 	 Система Кадры
подп. а п. 29 постановления правительства от 16.12.2024 № 1796	Вопрос: подп. а п. 29 постановления правительства от 16.12.2024 № 1796 	 5 	 Система Госзаказ
обозначение в табеле день смерти	Вопрос: обозначение в табеле день смерти 	 2 	 Система Кадры
как ознакомить вахтовика с графиком работы	как ознакомить вахтовика с графиком работы 	 2 	 Система Кадры
калькулятор больничного листа	Калькулятор больничного листа 	 8 	 Система Медицина
основания сокращения	Вопрос: основания сокращения 	 2 	 Система Кадры
ст. 20 тк рф	ст. 20 тк рф 	 2 	 Система Кадры
приказ о внедрении	Приказ о внедрении 	 2 	 Система Кадры
когда надо брать отгул за работу в выходной	Когда надо брать отгул за работу в выходной 	 2 	 Система Кадры
приказ о создании комиссии проверки знаний	Приказ о создании комиссии проверки знаний 	 2 	 Система Кадры
банк удержал по исполнительному листу	Вопрос: банк удержал по исполнительному листу 	 3 	 Система Юрист
оформление ежегодных отпусков наперед	оформление ежегодных отпусков наперед 	 2 	 Система Кадры
срок предупреждения срочного тд	Система Кадры 	 2 	 Система Кадры
в новый журнал ведения трудовых книжек не внесена запись	в новый журнал ведения трудовых книжек не внесена запись 	 2 	 Система Кадры
нужно ли направлять отчет ефс-1 на внутреннего совместителя	нужно ли направлять отчет ефс-1 на внутреннего совместителя 	 2 	 Система Кадры
учет внутреннего совместительства	Учет внутреннего совместительства 	 2 	 Система Кадры
должностная инструкция менеджера по продажам	Вопрос: должностная инструкция менеджера по продажам 	 12 	 Система Продажи
уведомление роскомнадзора об уточке персональных	Вопрос: уведомление роскомнадзора об уточке персональных 	 3 	 Система Юрист
как получить статус члена семьи участника сво	Вопрос: как получить статус члена семьи участника своеобразного? 	 2 	 Система Кадры
можно ли уволить без отработки	можно ли уволить без отработки 	 2 	 Система Кадры
видеонаблюдение	Вопрос: видеонаблюдение 	 10 	 Система Управление многоквартирным домом
если у сотрудника нет записи с предыдущего места работы на переход на электронную трудовую книжку	Вопрос: если у сотрудника нет записи с предыдущего места работы на переход на электронную трудовую книжку 	 2 	 Система Кадры
заявление об удержании из заработной платы штрафв	Заявление об удержании из заработной платы штрафа 	 2 	 Система Кадры
кого нельзя сократить	Вопрос: кого нельзя сократить 	 2 	 Система Кадры
порядок изменения окладов	порядок изменения окладов 	 2 	 Система Кадры
список средств индивидуальной защиты, требующих практических навыков	Список средств индивидуальной защиты, требующих практических навыков 	 6 	 Система Охрана труда
данные соискателя	Вопрос: данные соискателя 	 2 	 Система Кадры
стимулирующие надбавки и доплаты	Вопрос: стимулирующие надбавки и доплаты 	 2 	 Система Кадры
профстандарт инженер-дефектоскопист	профстандарт инженер-дефектоскопист 	 14 	 Система Промбезопасность
оперативное руководство работниками	оперативное руководство работниками 	 2 	 Система Кадры
сотруднику установили 2 группу инвалидности	Вопрос: сотруднику установили 2 группу инвалидности 	 2 	 Система Кадры
отпуск	отпуск 	 2 	 Система Кадры
код окз 2149, какой код окпдтр	Код окз 2149, какой код окпдтр 	 11 	 Система Генеральный директор
место работы в дистанционном договоре	Вопрос: место работы в дистанционном договоре 	 2 	 Система Кадры
работа во время больничного	работа во время больничного 	 2 	 Система Кадры
как внести исправления в журнал учета трудовых книжек	как внести исправления в журнал учета трудовых книжек 	 2 	 Система Кадры
обучение	обучение 	 7 	 Система Образование
абз 9 ч 2 ст 57 тк	абз 9 ч 2 ст 57 тк 	 2 	 Система Кадры
положение о расходах канцтоваров	положение о расходах канцтоваров 	 1 	 Система Бухгалтер
как приостановить контракт на основании пункта 3 статьи 38	как приостановить контракт на основании пункта 3 статьи 38 	 3 	 Система Юрист
можно ли уволить работника, если он вышел в отпуск и написал заявление	Можно ли уволить работника, если он вышел в отпуск и написал заявление 	 2 	 Система Кадры
закончился журнал учета трудовых книжек	Закончился журнал учета трудовых книжек 	 2 	 Система Кадры
норма управляемости	Вопрос: норма управляемости 	 11 	 Система Генеральный директор
оплата за дистанционную работу доплата дистанционным работника	оплата за дистанционную работу доплата дистанционным работника 	 2 	 Система Кадры
код окз токарь	Вопрос: код окз токарь 	 2 	 Система Кадры
в штатном расписании нужно ли прописывать марку автомобиля	в штатном расписании нужно ли прописывать марку автомобиля 	 2 	 Система Кадры
прием на работу несовершеннолетнего дворником	прием на работу несовершеннолетнего дворником 	 2 	 Система Кадры
красноярск коэффициент	Вопрос: красноярск коэффициент 	 5 	 Система Госзаказ
договор с самозанятым	договор с самозанятым 	 3 	 Система Юрист
приказ об утверждении правил внутреннего трудового распорядка b оплаты труда	Приказ об утверждении правил внутреннего трудового распорядка и оплаты труда 	 2 	 Система Кадры
фонд зп внутренних совместителей	фонд зп внутренних совместителей 	 4 	 Система Финансист
должностная инструкция коммерческого директора	Вопрос: должностная инструкция коммерческого директора 	 11 	 Система Генеральный директор
невовремя поданные листки нетрудоспособности в 2022 году по республике крым	невовремя поданные листки нетрудоспособности в 2022 году по республике крым 	 2 	 Система Кадры
премия не начисляется	премия не начисляется 	 2 	 Система Кадры
кормление ребенка	кормление ребенка 	 7 	 Система Образование
штатное расписание для воинского учета	Штатное расписание для воинского учета 	 2 	 Система Кадры
кому положено 14 дней без оплаты по старости	Вопрос: кому положено 14 дней без оплаты по старости 	 2 	 Система Кадры
соглашение о расторжении договора гпх	Соглашение о расторжении договора гпх 	 3 	 Система Юрист
статистические отчеты медицинской организации	статистические отчеты медицинской организации 	 8 	 Система Медицина
как оформить отпуск по уходу за ребенком входит в стаж для оплаты больничного	как оформить отпуск по уходу за ребенком входит в стаж для оплаты больничного 	 2 	 Система Кадры
ежедневное тестирование сотрудников на наличие алкоголя в крови	ежедневное тестирование сотрудников на наличие алкоголя в крови 	 6 	 Система Охрана труда
инженер профстандарт в энергетике	инженер профстандарт в энергетике 	 14 	 Система Промбезопасность
может ли отец взять больничный по уходу за ребенком, если мать уже находится в отпуске по уходу за ребенком	может ли отец взять больничный по уходу за ребенком, если мать уже находится в отпуске по уходу за ребенком 	 2 	 Система Кадры
должностная инструкция зубопротезирования	Вопрос: должностная инструкция зубопротезирования 	 8 	 Система Медицина
нужно ли сотруднику давать копию приказа о принятом решении на сокращение	нужно ли сотруднику давать копию приказа о принятом решении на сокращение 	 2 	 Система Кадры
входят ли праздничные дни в норму часов при суммированном учете	Вопрос: входят ли праздничные дни в норму часов при суммированном учете 	 2 	 Система Кадры
может ли отец оформить дни по уходу за ребенком инвалидом если жена находится в отпуске по уходу за ребенком	может ли отец оформить дни по уходу за ребенком инвалидом если жена находится в отпуске по уходу за ребенком 	 2 	 Система Кадры
образец протокола самовольный уход с рабочего места	Вопрос: образец протокола самовольный уход с рабочего места 	 2 	 Система Кадры
продление больничного по родам	Продление больничного по родам 	 8 	 Система Медицина
приказ канцтоваров	Приказ канцтоваров 	 2 	 Система Кадры
как составить график сменности	как составить график сменности 	 2 	 Система Кадры
приказ на медосмотр	Приказ на медосмотр 	 8 	 Система Медицина
женщины на севере	Вопрос: женщины на севере 	 7 	 Система Образование
с какого периода инвалидам установлен отпуск в количестве 30 дней	Система Кадры 	 2 	 Система Кадры
количество дней учебного отпуска среднее профессиональное образование	количество дней учебного отпуска среднее профессиональное образование 	 7 	 Система Образование
отозвать из отпуска по уходу за ребенком до 3-х лет	отозвать из отпуска по уходу за ребенком до 3-х лет 	 2 	 Система Кадры
как отменить надбавку за интенсивность	как отменить надбавку за интенсивность 	 2 	 Система Кадры
отчет в сфр в случае отпуска с последующим увольнением	отчет в сфр в случае отпуска с последующим увольнением 	 2 	 Система Кадры
как заполнить табель в медицинском учреждении	как заполнить табель в медицинском учреждении 	 8 	 Система Медицина
820 формату упд	820 формату упд 	 1 	 Система Бухгалтер
дополнительное соглашение на исполнение обязанностей в связи с производственной необходимостью	Дополнительное соглашение на исполнение обязанностей в связи с производственной необходимостью 	 2 	 Система Кадры
перевод работника на неполный рабочий день	перевод работника на неполный рабочий день 	 2 	 Система Кадры
код трудовой функции	Вопрос: код трудовой функции 	 2 	 Система Кадры
может ли главный бухгалтер быть врио	может ли главный бухгалтер быть врио 	 1 	 Система Бухгалтер
согласие на обработку b передачу персональных данных	Система Кадры 	 2 	 Система Кадры
работодатель не обязан выдавать справку о расчете среднего этот расчет производит центр занятости	Работодатель не обязан выдавать справку о расчете среднего этот расчет производит центр занятости 	 2 	 Система Кадры
екс	Вопрос: екс 	 4 	 Система Финансист
как поступить если предыдущий работодатель внес в трудовую книжку запись что подано заявление о переходе на этк а в выписке с госуслуг даты перехода нет	как поступить если предыдущий работодатель внес в трудовую книжку запись что подано заявление о переходе на этк а в выписке с госуслуг даты перехода нет 	 2 	 Система Кадры
уведомление о привлечении к работе в выходной день	уведомление о привлечении к работе в выходной день 	 2 	 Система Кадры
какие документы должен предоставить сотрудник для получения пособия по уходу за ребенком до 3 лет	какие документы должен предоставить сотрудник для получения пособия по уходу за ребенком до 3 лет 	 2 	 Система Кадры
заявление на дубликат трудовой книжки	заявление на дубликат трудовой книжки 	 2 	 Система Кадры
участник боевых действий имеет ли право на дополнительный отпуск без сохранения	Вопрос: участник боевых действий имеет ли право на дополнительный отпуск без сохранения 	 2 	 Система Кадры
федеральный закон от 09.11.2024 № 382-фз	Вопрос: федеральный закон от 09.11.2024 № 382-фз 	 5 	 Система Госзаказ
при болезни начальника временный перевод сотруднику как оформить в 1с дату окончания перевода	при болезни начальника временный перевод сотруднику как оформить в 1с дату окончания перевода 	 2 	 Система Кадры
